id,latitude,longitude,track_id,time
1,-10.93934139,-37.06274211,1,9/13/2014 7:24
1,-10.93934139,-37.06274211,1,9/13/2014 7:24
1,-10.93932395,-37.06276451,1,9/13/2014 7:24
1,-10.93921056,-37.06284305,1,9/13/2014 7:24
1,-10.93893898,-37.0628786,1,9/13/2014 7:24
1,-10.93854359,-37.06283866,1,9/13/2014 7:24
1,-10.93834606,-37.06258756,1,9/13/2014 7:25
1,-10.93844845,-37.06199983,1,9/13/2014 7:25
1,-10.93866607,-37.06149893,1,9/13/2014 7:25
1,-10.93898623,-37.06081922,1,9/13/2014 7:25
2,-10.93934291,-37.0600867,1,9/13/2014 7:25
2,-10.93964144,-37.0595031,1,9/13/2014 7:25
2,-10.93985791,-37.05912132,1,9/13/2014 7:25
2,-10.94007729,-37.058729,1,9/13/2014 7:25
2,-10.9403891,-37.05829088,1,9/13/2014 7:25
2,-10.94074638,-37.05799223,1,9/13/2014 7:25
2,-10.94117939,-37.05763973,1,9/13/2014 7:26
2,-10.9414799,-37.05739138,1,9/13/2014 7:26
3,-10.94427,-37.051709,1,9/14/2014 7:26
3,-10.944349,-37.051278,1,9/15/2014 7:26
